doc_id,partyabbrev,party,partycolor,partyorder,corpus_line_id,heading_order,doc_line_id,text,doc_sentence_id,corpus_sentence_id,heading,paragraph,context_after,context_before
afd.txt,AfD,41953,blue,6,572,0,572,Sie sind daher abzuschaffen.,1023,1023,14.1 Verkehr,Deshalb wenden wir uns auch gegen ein flächendeckendes Tempolimit und erfolglose Umweltzonen. Umweltzonen haben nachweislich nicht zur Reduzierung der Feinstaubemission beigetragen. Sie sind daher abzuschaffen.,,Deshalb wenden wir uns auch gegen ein flächendeckendes Tempolimit und erfolglose Umweltzonen. Umweltzonen haben nachweislich nicht zur Reduzierung der Feinstaubemission beigetragen. 
afd.txt,AfD,41953,blue,6,588,0,588,"Mieter, deren Einkommen nicht für die Miete reicht, sind weiterhin durch Wohngeld zu unterstützen.",1045,1045,14.2 Wohnungsbau,"Zur Eigentumsförderung sind Grundstücke von der öffentlichen Hand zur Verfügung zu stellen und genossenschaftliches Wohnen zu fördern. Mieter, deren Einkommen nicht für die Miete reicht, sind weiterhin durch Wohngeld zu unterstützen.",,Zur Eigentumsförderung sind Grundstücke von der öffentlichen Hand zur Verfügung zu stellen und genossenschaftliches Wohnen zu fördern. 
afd.txt,AfD,41953,blue,6,159,0,159,Hierzu ist Art. 16 Abs. 1 GG entsprechend zu ändern.,314,314,4.1 Wirksame Bekämpfung der Ausländer- kriminalität,Hierzu ist Art. 16 Abs. 1 GG entsprechend zu ändern.,,
afd.txt,AfD,41953,blue,6,514,0,514,"Die Beschäftigung von ausländischem Personal, das oftmals sprachliche Defizite aufweist, kann somit keine Lösung zur Behebung des Personalmangels im Gesundheitswesen sein.",926,926,12.7 Ärzte und Therapeuten überwiegend in Deutschland ausbilden,"Gesundheit ist immer auch eine Frage des Vertrauens. Bei Ärzten, Therapeuten oder Pflegekräften, die sprachliche Defizite aufweisen, kann keine Vertrauensbasis entstehen. Die Beschäftigung von ausländischem Personal, das oftmals sprachliche Defizite aufweist, kann somit keine Lösung zur Behebung des Personalmangels im Gesundheitswesen sein. Insbesondere müssen Ärzte, die in der Patientenversorgung tätig sind, über gute Sprachkenntnisse (Sprachniveau C1) verfügen. Deren fachliche Qualifikation muss uneingeschränkt dem deutschen Standard entsprechen."," Insbesondere müssen Ärzte, die in der Patientenversorgung tätig sind, über gute Sprachkenntnisse (Sprachniveau C1) verfügen. Deren fachliche Qualifikation muss uneingeschränkt dem deutschen Standard entsprechen.","Gesundheit ist immer auch eine Frage des Vertrauens. Bei Ärzten, Therapeuten oder Pflegekräften, die sprachliche Defizite aufweisen, kann keine Vertrauensbasis entstehen. "
afd.txt,AfD,41953,blue,6,386,0,386,- Reduzierung der Steuer- und Abgabenquote,714,714,"Steuern und Finanzen, Wirtschaft und Arbeit",- Reduzierung der Steuer- und Abgabenquote,,
afd.txt,AfD,41953,blue,6,301,0,301,"Im Anschluss an die Betreuungspause muss es ihnen ohne große Hürden möglich sein, ihren Beruf wieder aufzunehmen.",568,568,7.6 Stärkung elterlicher Betreuung – echte Wahlfreiheit schaffen,"Kinder unter drei Jahren fühlen sich am wohlsten, wenn sie durch die eigenen Eltern betreut werden. Es muss wieder möglich sein, dass eine Familie mit kleinen Kindern von einem Gehalt leben kann, so dass die Eltern frei zwischen Berufstätigkeit oder Erwerbspause entscheiden können. Der Staat muss dafür die elterliche Betreuung genauso finanziell unterstützen wie Kitas und Tagesmütter. Eltern, die ihre Kleinkinder selbst betreuen, erleben die Entwicklung ihrer Kinder unmittelbar, vermitteln Ihnen Herzensbildung und erhalten damit die körperliche und seelische Gesundheit ihrer Kinder. Sie leisten insofern einen wichtigen Beitrag für die Gesellschaft und verdienen dafür Anerkennung. Im Anschluss an die Betreuungspause muss es ihnen ohne große Hürden möglich sein, ihren Beruf wieder aufzunehmen.",,"Kinder unter drei Jahren fühlen sich am wohlsten, wenn sie durch die eigenen Eltern betreut werden. Es muss wieder möglich sein, dass eine Familie mit kleinen Kindern von einem Gehalt leben kann, so dass die Eltern frei zwischen Berufstätigkeit oder Erwerbspause entscheiden können. Der Staat muss dafür die elterliche Betreuung genauso finanziell unterstützen wie Kitas und Tagesmütter. Eltern, die ihre Kleinkinder selbst betreuen, erleben die Entwicklung ihrer Kinder unmittelbar, vermitteln Ihnen Herzensbildung und erhalten damit die körperliche und seelische Gesundheit ihrer Kinder. Sie leisten insofern einen wichtigen Beitrag für die Gesellschaft und verdienen dafür Anerkennung. "
afd.txt,AfD,41953,blue,6,449,0,449,- Hightechunternehmen in Deutschland erhalten und fördern.,811,811,10.6 Wirtschaftspolitik für Deutschland: Wohlstand für alle!,  - Hightechunternehmen in Deutschland erhalten und fördern.,,  
afd.txt,AfD,41953,blue,6,69,0,69,Seit dem Amtsantritt von Gouverneur Draghi fehlen rund 500 Milliarden Euro für die Altersvorsorge der Deutschen.,153,153,2.2 Beendigung der Sparer und Rentner enteignenden Politik der EZB,"Die EZB sollte eine zweite Bundesbank sein. Stattdessen betreibt sie eine Währungspolitik der unwirtschaftlichen Zinsen (Nullzinspolitik). Dies zerstört alle kapitalgedeckten Alterssicherungssysteme von Betriebsrenten, über staatlich geförderte Rentensysteme, private Lebensversicherungen bis zu privaten Sparvermögen. Seit dem Amtsantritt von Gouverneur Draghi fehlen rund 500 Milliarden Euro für die Altersvorsorge der Deutschen. Die AfD fordert die Durchsetzung des vertraglichen Verbots der Staatsfinanzierung und eine Rückführung der Befugnisse der EZB auf Geldpolitik im engeren, klassischen Sinn. Alle Maßnahmen der EZB zur Manipulation des freien Kapitalmarkts müssen eingestellt werden. Eine Politik der künstlich herbeigeführten Null- und Negativzinsen führt zur Zerstörung der zentralen Märkte für Anleihen. Die durch die EZB-Politik verursachte Wechselkursabwertung und die Preisexplosion am Aktien- und Immobilienmarkt zerstören die Kaufkraft von nicht so schnell steigenden Einkünften, wovon insbesondere Arbeitnehmer und Rentner betroffen sind."," Die AfD fordert die Durchsetzung des vertraglichen Verbots der Staatsfinanzierung und eine Rückführung der Befugnisse der EZB auf Geldpolitik im engeren, klassischen Sinn. Alle Maßnahmen der EZB zur Manipulation des freien Kapitalmarkts müssen eingestellt werden. Eine Politik der künstlich herbeigeführten Null- und Negativzinsen führt zur Zerstörung der zentralen Märkte für Anleihen. Die durch die EZB-Politik verursachte Wechselkursabwertung und die Preisexplosion am Aktien- und Immobilienmarkt zerstören die Kaufkraft von nicht so schnell steigenden Einkünften, wovon insbesondere Arbeitnehmer und Rentner betroffen sind.","Die EZB sollte eine zweite Bundesbank sein. Stattdessen betreibt sie eine Währungspolitik der unwirtschaftlichen Zinsen (Nullzinspolitik). Dies zerstört alle kapitalgedeckten Alterssicherungssysteme von Betriebsrenten, über staatlich geförderte Rentensysteme, private Lebensversicherungen bis zu privaten Sparvermögen. "
afd.txt,AfD,41953,blue,6,396,0,396,Die Obergrenze sollte maximal der heutigen Abgabenquote entsprechen und mittelfristig 40 Prozent des Bruttoinlandsprodukts nicht übersteigen.,728,728,10.1 Steuern,"Damit soll verhindert werden, dass Steuern und Abgaben in Zukunft beliebig erhöht werden können. Die Obergrenze sollte maximal der heutigen Abgabenquote entsprechen und mittelfristig 40 Prozent des Bruttoinlandsprodukts nicht übersteigen. Eine solche Politik ist erforderlich, weil sowohl die Staatsfinanzierung als auch der Wohlstand der Bürger in erster Linie von einer blühenden Wirtschaft abhängen. Neben innovativer Forschung und gut ausgebildeten Menschen braucht der Wirtschaftsprozess finanzielle Rahmenbedingungen, welche die Eigenfinanzierung für die technologische Infrastruktur der Zukunft ermöglichen und die internationale Wettbewerbsfähigkeit auch bei der Abgabenlast gewährleisten."," Eine solche Politik ist erforderlich, weil sowohl die Staatsfinanzierung als auch der Wohlstand der Bürger in erster Linie von einer blühenden Wirtschaft abhängen. Neben innovativer Forschung und gut ausgebildeten Menschen braucht der Wirtschaftsprozess finanzielle Rahmenbedingungen, welche die Eigenfinanzierung für die technologische Infrastruktur der Zukunft ermöglichen und die internationale Wettbewerbsfähigkeit auch bei der Abgabenlast gewährleisten.","Damit soll verhindert werden, dass Steuern und Abgaben in Zukunft beliebig erhöht werden können. "
afd.txt,AfD,41953,blue,6,425,0,425,"Diese muss in enger Abstimmung insbesondere mit der mittelständischen Wirtschaft erfolgen, bei welcher 80 Prozent der Arbeitnehmer Deutschlands beschäftigt sind.",776,776,10.4 Arbeitslosigkeit und Qualifikation für Langzeitarbeitslose,"Diese muss in enger Abstimmung insbesondere mit der mittelständischen Wirtschaft erfolgen, bei welcher 80 Prozent der Arbeitnehmer Deutschlands beschäftigt sind.",,
